assignee_id,disambig_assignee_organization,blockchain_patent_count,is_bank,canonical_bank_name,parent_bank_group,is_us_top50_candidate,us_top50_rank,us_top50_bank_name,match_type,confidence,evidence,review_note,ambiguity_note,acquired_via
6e80a706-ca3c-437b-8a9c-aae8b5efba57,International Business Machines Corporation,793,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
b7360356-3e78-4be5-928b-4881690b1418,"Advanced New Technologies Co., Ltd.",528,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
814d149b-c91d-41ea-a358-d7b46529e6ff,NCHAIN LICENSING AG,295,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
0b8f3a7b-848a-4a15-a1ef-e585df1807ff,Bank of America Corporation,277,1,Bank of America,Bank of America Corp.,1,2.0,Bank of America,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
ff68ac3e-59f6-461b-a4e6-8d75cdf77556,"CAPITAL ONE SERVICES, LLC",191,1,Capital One,Capital One Financial Corp.,1,8.0,Capital One,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
3172f835-adda-4843-8958-6312cb256c82,MASTERCARD INTERNATIONAL INCORPORATED,191,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
340cd6f3-5f06-4877-8cd7-dce3dc2a26bc,Alibaba Group Holding Limited,190,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
a3872cb6-7aee-4586-bba6-d5bb899fd861,"Wells Fargo Bank, N.A.",144,1,Wells Fargo,Wells Fargo & Co.,1,4.0,Wells Fargo,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
80f6a95c-49a8-48b4-b49c-56e1c02b7712,"Alipay (Hangzhou) Information Technology Co., Ltd.",139,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
63a1b372-8090-409c-ac91-e05b648f8205,Visa International Service Association,138,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
2c428850-5d4d-4dc8-8d58-d7ef66d60171,State Farm Mutual Automobile Insurance Company,131,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
19d1ee44-cba9-44a0-8397-00a341e448b6,ACCENTURE GLOBAL SOLUTIONS LIMITED,97,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
1177679d-d7ea-4a87-9af2-71c44db92ad0,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,94,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
35aa0c99-f86a-4e3f-9747-45559f2eb178,United Services Automobile Association (USAA),93,1,USAA,USAA,1,21.0,USAA,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
ce183c1e-e412-4ff6-a1ae-09854da030a1,"MICROSOFT TECHNOLOGY LICENSING, LLC",77,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
15fea7a8-e699-4da0-9e70-829f3a4e335c,"Coinbase, Inc.",74,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
ba1c1c18-cacc-4c23-a5a7-32daef49e569,"PAYPAL, INC.",72,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
47cd060e-60ce-49ab-8623-caf34f5c3860,Intel Corporation,70,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
febfb0ff-ea4f-43cc-98fc-751ceb05b066,"JPMORGAN CHASE BANK, N.A.",64,1,JPMorgan Chase,JPMorgan Chase & Co.,1,1.0,JPMorgan Chase,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
f8748887-00f3-4966-89de-58204b93d00d,EMC IP Holding Company LLC,60,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
78650fb2-0f07-44fc-9492-117ac052c125,"American Express Travel Related Services Company, Inc.",56,1,American Express,American Express Co.,1,15.0,American Express,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
23f54638-a0c0-4757-b251-3852ce1fb9a9,"Cisco Technology, Inc.",56,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
fbffa6c6-1d3e-4512-aa3f-f25ac5da9278,The Toronto-Dominion Bank,56,1,TD Bank,The Toronto-Dominion Bank,1,11.0,TD Group US Holdings,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
441837c5-8477-40ee-84a5-3c9b64029705,"Strong Force TX Portfolio 2018, LLC",54,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
fb308a7b-80bc-4334-9db7-cea19a6e15be,Dell Products L.P.,53,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
5491322d-78a3-4b97-80d9-600f83ff75a7,NEC CORPORATION,48,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
e3b70562-48ab-42d1-8eb9-8d6df80eed07,Hewlett Packard Enterprise Development LP,47,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
68d6cfc2-000a-48ba-a215-2373538048da,Oracle International Corporation,47,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
167dd982-3181-4d43-b538-a87c1e3f9deb,eBay Inc.,47,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
bdeb6187-82c3-4e04-bec6-b6bbd06c99cc,Verizon Patent and Licensing Inc.,45,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
46880acc-0cad-40bd-bbfc-afecc11e7da2,Panasonic Intellectual Property Corporation of America,44,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
e3177668-a2e6-45b8-8f55-354bc200628d,SAP SE,43,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
3b98dbab-8359-472e-8808-8fc7305f2062,"Inveniam Capital Partners, Inc.",42,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
e81d9822-1d91-4621-a179-49cae16f46db,"Coinplug, Inc.",39,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
d1d96a91-c5e6-4090-ba39-4af2494eb35c,"SAMSUNG ELECTRONICS CO., LTD.",39,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
e2878289-407d-445f-bfca-fa3b1c3c28b0,"Red Hat, Inc.",38,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
29ff5bfb-ccbe-4f68-b7b4-486e2391416c,Telefonaktiebolaget LM Ericsson (Publ),38,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
c09f49d8-9286-4733-89ee-79dbd6a081b7,"AMAZON TECHNOLOGIES, INC.",37,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
22aa640c-37cb-4432-82fe-d89bb9d007bf,"AT&T Intellectual Property I, L.P.",37,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
df39b6c4-6c30-4d49-bbb5-ffe83fcabdaa,nChain Holdings Ltd,37,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
af1c1db8-dc03-4036-a732-d81d2ad09c0c,SONY GROUP CORPORATION,35,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
480b50a2-1a9d-44e1-81f4-ac97f3b140c2,"CITIBANK, N.A.",34,1,Citigroup/Citibank,Citigroup Inc.,1,3.0,Citigroup,ALIAS,HIGH,Matched by curated assignee_id->bank mapping (legacy reviewed map).,Mapped as bank-related entity.,,
0263ea41-b726-4f55-a8ca-9abc5f3b0731,"Equity Shift, Inc.",34,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
9ec0daca-4386-450e-86b7-38c82515474f,"SPRINT COMMUNICATIONS COMPANY, L.P.",33,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
99255cd6-0fd1-4db7-9ea7-d7932b06639e,"Salesforce.com, Inc.",33,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
1abcc1f1-40ca-405d-8248-ed39ff74ce89,"Ford Global Technologies, LLC",32,0,,,0,,,NONE,LOW,No reliable bank signal in assignee name.,NON_BANK by name-based rules.,,
